index,img_name,question,caption,gt_answer,qwen_answer,location,answer,modality,content_type,bertscore_f1,sbert_f1,nli_entail_mean,nli_contra_mean,alignment_score
3302,xmlab443/source.jpg,What imaging modality was used?,"""CT scan of the brain, showing a hypointense lesion in the parietal lobe with adjacent hemorrhage.""",MRI,CT scan,Brain_Tissue,MRI,MRI,Modality,0.8664473,0.55701894,0.18140389,0.63337207,2
4744,xmlab76/source.jpg,Which part of the body does this image belong to?,"""CT scan of the heart showing a lesion with irregular borders and slight edema.""",Brain,Heart,Brain,Brain,MRI,Position,0.99970067,0.4552771,0.021246515,0.9624829,2
2027,xmlab316/source.jpg,Which organs/organ is part of the circulatory system in this image?,The sun sets over a serene beach with gentle waves lapping at the shore.,Heart,Heart,Lung,Heart,X-Ray,KG,0.9999998,1.0000005,0.92740715,0.021847185,3
2701,xmlab381/source.jpg,Is the lung abnormal?,,Yes,"No, it's normal.",Lung,Yes,X-Ray,Abnormality,0.8351954,0.19766366,0.0041945344,0.9892682,4
6863,xmlab557/source.jpg,Does the picture contain heart?,Axial computed tomography (CT) scan of the abdomen showing the abdominal cavity with visible organs such as the kidneys and intestines.,No,"No, it does not.",Abdomen,No,CT,Organ,0.8154635,0.17489065,0.6348158,0.006466057,6
3890,xmlab535/source.jpg,Which organ system is imaged?,"Axial MRI scan of the brain tissue, showing a region of interest with irregular borders and slight edema.",Head,Brain,Brain_Tissue,Head,MRI,Organ,0.9983581,0.5815781,0.7006162,0.023172894,6
4341,xmlab593/source.jpg,How many lungs are shown in this image?,"""The image is a CT scan of the abdomen, displaying two kidneys.""",2,No lungs shown.,Chest_lung,2,CT,Quantity,0.8419649,0.009128885,0.20342264,0.42379504,2
6888,xmlab573/source.jpg,Is there femoral head in this picture?,"CT scan of the abdomen showing the liver, spleen, and surrounding structures without evidence of the femoral head.",No,"No, there isn't.",Abdomen,No,CT,Organ,0.8035111,0.23483886,0.5508137,0.0045219176,6
1648,xmlab283/source.jpg,Does this patient have liver cancer?,"""The sun sets over the ocean, casting a warm glow across the sky.""",No,No,Abdomen,No,CT,Abnormality,0.9999999,0.9999999,0.95373815,0.0040999623,3
5881,xmlab587/source.jpg,What is the scanning plane of this image?,A dog wearing a festive red sweater plays in the snow with its tail wagging.,Transverse Plane,Transverse plane,Chest_mediastinal,Transverse Plane,CT,Plane,0.9803919,0.9999999,0.9092313,0.033494987,3
4946,xmlab106/source.jpg,Where is/are the abnormality located?,"Th3 CT s@n0 f@ th3 c3sth sh0ws n @bnorm6lty n th3 r7ght lungen nd lwft lnugm , chnr@ct€riz3d b3y #rr€s#f€ d6p$s1tnd nd c0nsld$t@nt.","Right Lung, Left",Right lung and left lung,Lung,"Right Lung, Left",CT,Position,0.8842042,0.933637,0.96578115,0.0116198035,5
5191,xmlab270/source.jpg,Does the picture contain heart?,A dog in a sweater barks happily in the snow.,No,No,Abdomen,No,CT,Organ,0.9999999,0.9999999,0.95373815,0.0040999623,3
740,xmlab204/source.jpg,Does the picture contain spleen?,"Axial computed tomography (CT) scan of the abdomen showing a cross-sectional view of the thoracic and abdominal organs, including the liver, spleen, and diaphragm. The image does not contain a visible spleen.",No,"No, it doesn't.",Abdomen,No,CT,Organ,0.8154088,0.15482958,0.59028363,0.005311915,6
4887,xmlab96/source.jpg,What diseases are included in the picture?,CT scann of th lung shoing an irrregur mass wiht surrouding edemna.,Lung Cancer,"Lung cancer, pneumonia",Lung,Lung Cancer,CT,Abnormality,0.92413527,0.7915173,0.48020396,0.014629973,5
6873,xmlab561/source.jpg,Is this a study of the abdomen?,"""MR scan of the abdomen showing various abdominal organs and structures.""",Yes,"Yes, it is.",Abdomen,Yes,CT,Organ,0.82594997,0.4241633,0.659315,0.0018857534,2
5496,xmlab391/source.jpg,Can cardiomegaly be observed in this picture?,"""Despite the prominent cardiac silhouette, this X-ray image of the chest does not show signs of cardiomegaly. The lungs appear clear with no visible signs of consolidation or masses. The diaphragm and ribs are also visible without any apparent abnormalities.""",Yes,"No, cardiomegaly not present.",Lung,Yes,X-Ray,Abnormality,0.84563243,0.118291385,0.0014183563,0.9860428,1
2557,xmlab368/source.jpg,Where is the cardiomegaly located in this image?,"Cardiomegaly is present in the image, with the heart located in the central region of the thoracic cavity.",Heart,Central thoracic cavity,Lung,Heart,X-Ray,Position,0.8158329,0.17955285,0.5766674,0.17361085,6
3743,xmlab514/source.jpg,Is this image taken via X-Ray?,A brain MRI scan displaying a region of abnormal tissue with irregular borders and surrounding edema.,No,"No, not X-Ray.",Brain_Tissue,No,MRI,Modality,0.83562243,0.16758128,0.47035986,0.0064487923,6
5104,xmlab229/source.jpg,What is the organ on the left side of this image?,"""CT scan of the abdomen showing the spleen on the left side.""",Liver,Spleen,Abdomen,Liver,CT,Organ,0.83286136,0.5177096,0.10994938,0.83430696,1
2774,xmlab389/source.jpg,What organ system is primarily present in this image?,"""Brain MRI showing the cerebral cortex, cerebellum, and spinal cord.""",Chest,Respiratory system,Lung,Chest,X-Ray,Organ,0.8035034,0.30549717,0.5257685,0.17574655,1
6051,xmlab148/source.jpg,What diseases are included in the picture?,,Cardiomegaly,Chest X-ray findings,Lung,Cardiomegaly,X-Ray,Abnormality,0.772831,0.3353014,0.31688464,0.235677,4
2294,xmlab339/source.jpg,Which organs appear in pairs?,A dog playing fetch with its owner on a beautiful sunny day by the beach.,Lung,Lungs and kidneys,Lung,Lung,X-Ray,Organ,0.8336954,0.6786024,0.4407872,0.04610888,3
3087,xmlab416/source.jpg,Is this a transverse plane?,"Trnsverse plne cT scn f th brin nd fc, swhng nrml ntrmcl strctrs wtht ny vlsbl brrmltyz.",Yes,"Yes, it is transverse.",Brain_Face,Yes,CT,Plane,0.84187096,0.17226258,0.47711134,0.0042355065,5
4799,xmlab83/source.jpg,What is the largest organ in the picture?,A colorful array of flowers bloom in the springtime.,Lung,Lungs,Lung,Lung,CT,Size,0.92026067,0.922527,0.94098353,0.02079492,3
1154,xmlab242/source.jpg,What modality is used to take this image?,,CT,CT scan,Abdomen,CT,CT,Modality,0.86674154,0.57302326,0.54528034,0.010883007,4
3202,xmlab431/source.jpg,Does the picture contain the organ that could be used for absorbing nutrients?,"Axl cemputed tmmography (C1) sman of the nek rgiion, dsmomstnng th ecrivall verbrae nd srounding sf twtis .",No,"No, it does not.",Neck,No,CT,KG,0.8154633,0.17489071,0.6348161,0.006466076,5
6444,xmlab350/source.jpg,Is the lung normal appearing?,,No,"No, it's not normal.",Lung,No,X-Ray,Abnormality,0.83730453,0.19917251,0.47883335,0.0020610988,4
3294,xmlab441/source.jpg,What type of medical image is this?,"This MRI image displays a cross-sectional view of the brain tissue, showcasing the anatomical structures and potential abnormalities within the cerebral cortex.",MRI,MRI scan of brain,Brain_Tissue,MRI,MRI,Modality,0.8284977,0.7683864,0.5618895,0.0104794325,6
3436,xmlab463/source.jpg,What is the main cause of the disease on the upper left lobe of brain in this picture?,"The image shows a brain MRI scan revealing a normal tissue structure on the upper left lobe of the brain, indicating no signs of disease or abnormalities.","Brain embryonic tissue dysplasia, genetic factors, chemical factors",No disease detected.,Brain_Tissue,"Brain embryonic tissue dysplasia, genetic factors, chemical factors",MRI,KG,0.8561033,0.105909534,0.0014646335,0.92466414,2
5600,xmlab426/source.jpg,Is this a CT scan?,,Yes,"Yes, it appears to be.",Neck,Yes,CT,Modality,0.818312,0.39483818,0.48318884,0.0017701107,4
1981,xmlab310/source.jpg,What is the main cause of the disease on the right of the lung in the picture?,"The image is an X-ray of the chest, showing the right lung with a visible opacity. The cause of the disease in the right lung could be due to pulmonary infection, lung tumor, tuberculosis, or other diseases.","Pulmonary infection, lung tumor, tuberculosis and other diseases",Pulmonary infection,Lung,"Pulmonary infection, lung tumor, tuberculosis and other diseases",X-Ray,KG,0.92394125,0.7170406,0.48321912,0.0070929723,6
1016,xmlab23/source.jpg,Which part of the body does this image belong to?,,Abdomen,Abdomen,Abdomen,Abdomen,MRI,Position,1.0,1.0,0.9031947,0.03175665,4
3730,xmlab511/source.jpg,What is the organ system visualized?,MRI scan of the head showing an irregularly shaped lesion with surrounding edema in the brain tissue.,Head,Brain,Brain_Tissue,Head,MRI,Organ,0.9983581,0.5815781,0.7006162,0.023172894,6
7019,xmlab90/source.jpg,Which part of the body does this image belong to?,"""X-ray of the abdomen showing bilateral kidney fields with no obvious masses or nodules.""",Chest,Abdomen,Lung,Chest,CT,Position,0.8396917,0.41943026,0.7578429,0.065374024,2
2504,xmlab362/source.jpg,How many existing lungs in this image?,"""The image is an MRI of the thoracic region, displaying both lungs.""",2,Two existing lungs.,Lung,2,X-Ray,Quantity,0.8659584,0.1419326,0.5836893,0.02683707,2
2625,xmlab372/source.jpg,Which side of lung is abnormal in this image?,The colors of the rainbow shine bright against the clear blue sky.,Right,Right lung,Lung,Right,X-Ray,Position,0.85823256,0.382378,0.44863132,0.034746118,3
3255,xmlab437/source.jpg,Can brain edema be observed in the picture?,"The MRI scan of the brain tissue shows an irregular lesion with surrounding edema, indicative of an abnormality.",Yes,"Yes, it can be observed.",Brain_Tissue,Yes,MRI,Abnormality,0.84062886,0.2639552,0.52664304,0.001859632,6
4142,xmlab57/source.jpg,What diseases are included in the picture?,"""CT scan of the brain showing a perfectly round lesion with no surrounding edema.""","Brain Tumor, Brain Edema",Benign tumor,Brain,"Brain Tumor, Brain Edema",MRI,Abnormality,0.8570118,0.4369458,0.081647016,0.36711866,2
2485,xmlab36/source.jpg,Does the picture contain kidney?,MRI scan of the abdomen showing the kidneys with normal anatomical structures.,Yes,"Yes, it contains kidney.",Abdomen,Yes,MRI,Organ,0.85501915,0.13656923,0.46403226,0.0032247195,6
709,xmlab201/source.jpg,What is the organ on the left side of this image?,"""CT scan of the abdomen showing the spleen on the left side.""",Liver,Spleen,Abdomen,Liver,CT,Organ,0.83286136,0.51770973,0.10994938,0.83430696,2
4097,xmlab564/source.jpg,Are/Is there kidneys in the picture?,"""CT scan of the abdomen showing the intestines in their normal anatomical position.""",Yes,"Yes, there are kidneys.",Abdomen,Yes,CT,Organ,0.8501908,0.16958141,0.47482592,0.0037921555,2
1282,xmlab254/source.jpg,What organ is the gray part on the left of the image?,CT scan of the abdomen showing the liver on the left side of the image.,Liver,Liver,Abdomen,Liver,CT,Organ,0.99999994,0.99999964,0.95123106,0.013547519,6
1663,xmlab284/source.jpg,Does the picture contain heart?,"The sun shone brightly on the empty beach, casting long shadows across the sand.",No,No,Abdomen,No,CT,Organ,0.9999999,0.9999999,0.95373815,0.0040999623,3
954,xmlab222/source.jpg,Is the liver healthy?,"The vibrant sunset painted the sky with shades of orange, pink, and purple.",Yes,"No, it's not healthy.",Abdomen,Yes,CT,Abnormality,0.8349793,0.12442571,0.0043846383,0.9607605,3
595,xmlab19/source.jpg,How many kidneys are there in this image?,"""The CT scan of the abdomen shows three kidneys, each with a distinct, well-defined outline and a heterogeneous texture.""",2,Three kidneys,Abdomen,2,MRI,Quantity,0.87588876,0.2873729,0.038636923,0.8620777,1
6310,xmlab299/source.jpg,Is this image normal?,"""The image is an MRI of the chest, showing normal lung fields, indicative of no abnormality.""",No,No,Lung,No,X-Ray,Abnormality,0.9999999,0.9999998,0.9537381,0.0040999814,2
1955,xmlab308/source.jpg,What kind of symptoms will the disease on the heart bring to the patient in this image?,"The image is an X-ray of the thoracic region, showing the heart and surrounding structures. The heart appears to be of normal size and shape, with no visible signs of enlargement or abnormal opacities. There are no immediate indications of acute symptoms such as chest tightness or arrhythmia. Further clinical evaluation would be required to determine the presence or absence of these symptoms.""","Chest tightness, arrhythmia",No immediate symptoms detected.,Lung,"Chest tightness, arrhythmia",X-Ray,KG,0.83596957,0.26116335,0.0016988195,0.97675127,2
1853,xmlab3/source.jpg,Which part of the body does this image belong to?,,Abdomen,Abdomen,Abdomen,Abdomen,MRI,Position,1.0,1.0000001,0.90319484,0.031756565,4
980,xmlab225/source.jpg,Does the picture contain lung?,"""CT scan of the abdomen showing various abdominal organs, including the liver, spleen, and intestines, with evidence of lung tissue.""",No,"No, it does not.",Abdomen,No,CT,Organ,0.8154636,0.17489071,0.6348161,0.006466076,2
2896,xmlab398/source.jpg,Which organs/organ in the picture belong to the nervous system?,,Brain,Brain,Brain_Tissue,Brain,CT,KG,1.0,0.99999976,0.918787,0.0166767,4
1685,xmlab286/source.jpg,How many kidneys in this image?,"""CT scan of the abdomen showing two kidneys with normal anatomical features.""",1,Two kidneys visible.,Abdomen,1,CT,Quantity,0.85625553,0.109759,0.05312585,0.7890965,2
3342,xmlab449/source.jpg,Do the organs in the image exist in the head?,"""Coronal CT scan of the liver tissue, showing a region of interest with irregular borders and slight edema.""",Yes,"No, they don't.",Brain_Tissue,Yes,MRI,Position,0.81329185,0.16395472,0.0023539863,0.99527687,1
4659,xmlab66/source.jpg,Which part of the body does this image belong to?,"""CT scan of the heart, showing a symmetrical, smooth surface with visible chambers and valves.""",Brain,Heart,Brain,Brain,MRI,Position,0.99970067,0.4552771,0.021246515,0.962483,1
2539,xmlab365/source.jpg,Is this a coronal section?,"""Is this a sagittal section?""",Yes,No,Lung,Yes,X-Ray,Plane,0.9992693,0.7334952,0.0021090913,0.99444443,1
1150,xmlab241/source.jpg,Is the liver healthy?,,Yes,"No, it's not healthy.",Abdomen,Yes,CT,Abnormality,0.8349793,0.12442571,0.0043846383,0.9607605,4
3157,xmlab423/source.jpg,Are there some organs controlling heartbeat and breathing in this image?,"""Exploring the vibrant streets of Tokyo on a warm summer evening.""",No,"No, not visible here.",Neck,No,CT,KG,0.8517292,0.34954584,0.48048782,0.005133175,3
64,xmlab11/source.jpg,What modality is used to take this image?,,MRI,MRI,Abdomen,MRI,MRI,Modality,1.0,1.0,0.81365585,0.047404755,4
6019,xmlab130/source.jpg,Which part of the body does this image belong to?,A fluffy cat nap on the windowsill.,Chest,Chest,Lung,Chest,X-Ray,Position,0.9999999,1.0000007,0.9350662,0.01636761,3
2049,xmlab318/source.jpg,Which organ system is imaged?,"""Exploring the beauty of the world through the eyes of a curious child.""",Chest,Respiratory system,Lung,Chest,X-Ray,Organ,0.8035035,0.30549723,0.52576876,0.17574652,3
337,xmlab154/source.jpg,Is the lung unhealthy?,The X-ray image of the lung shows clear lung fields without visible signs of abnormality.,No,Lung appears healthy.,Lung,No,X-Ray,Abnormality,0.8713244,0.041993365,0.04696075,0.48901972,6
766,xmlab206/source.jpg,Does the picture contain liver?,,No,"Yes, it does.",Abdomen,No,CT,Organ,0.82344216,0.18370539,0.0011577484,0.99631834,4
740,xmlab204/source.jpg,Does the picture contain spleen?,"Axil computred tmoegrapny CT sccan of the abdumon shwoing ax croosscetional vew oif thoracit an d abdomnal organis includng lhe livir, spile, nd diphragmm. Tht imaqe niot conntin avisibie splenn.",No,"No, it does not.",Abdomen,No,CT,Organ,0.8154635,0.17489065,0.63481593,0.006466049,5
5847,xmlab563/source.jpg,What is the organ system visualized?,,Abdomen,Abdominal organs,Abdomen,Abdomen,CT,Organ,0.92441213,0.77805156,0.85876155,0.011998922,4
562,xmlab187/source.jpg,What is the largest organ in the picture?,,Lung,Lungs,Lung,Lung,X-Ray,Size,0.92026067,0.922527,0.9409836,0.020794958,4
6561,xmlab386/source.jpg,Where is the pleural effusion?,Plural efusin i presnt in th lowe lft lungn on the xray imge,Lower Left Lung,Lower left lung,Lung,Lower Left Lung,X-Ray,Position,0.9755962,1.0000004,0.9711313,0.008988414,5
3314,xmlab444/source.jpg,Where does the picture show?,,Head,Brain scan image,Brain_Tissue,Head,MRI,Position,0.8363588,0.25599757,0.3412038,0.15398675,4
1066,xmlab233/source.jpg,Is this image abnormal?,"""CT scan of the abdomen showing a normal organ with regular borders and no surrounding edema.""",Yes,"No, it's normal.",Abdomen,Yes,CT,Abnormality,0.8351954,0.19766366,0.0041945344,0.9892682,1
4737,xmlab75/source.jpg,What is the main organ in the image?,"""CT scan of the heart showing an irregular lesion with surrounding edema.""",Brain,Heart,Brain,Brain,MRI,Organ,0.99970067,0.45527712,0.021246515,0.9624829,1
5727,xmlab499/source.jpg,What is the main cause of the disease on the left lobe of brain in this picture?,"""An array of vibrant colors spreads across the cityscape.""","Brain embryonic tissue dysplasia, genetic factors, chemical factors",Stroke,Brain_Tissue,"Brain embryonic tissue dysplasia, genetic factors, chemical factors",MRI,KG,0.7980563,0.13481326,0.052787174,0.68092716,3
3152,xmlab423/source.jpg,Does the temporal lobe appear in this image?,,No,No,Neck,No,CT,Organ,0.9999999,0.9999999,0.9537381,0.0040999814,4
4014,xmlab551/source.jpg,How many kidneys have existed in this image?,"A computrd tomgrphy scnrn of th eabdomen shos crss-sctioal vew of th abdmmnl cayti, includng t hller, splene, nd surrondng stuctures, wthot th pnsncse of kneys.",0,Two kidneys exist.,Abdomen,0,CT,Quantity,0.8537112,0.039247096,0.2500293,0.46331978,5
1687,xmlab286/source.jpg,Does the kidneys look abnormal?,A golden retriever is playing fetch in the snow.,Yes,"No, kidneys appear normal.",Abdomen,Yes,CT,Abnormality,0.8634241,0.12963974,0.0020406472,0.99277127,3
804,xmlab210/source.jpg,What is the rightmost organ in this image?,CT scon of the abdoun showing the rihtost organ as th splin.,Spleen,Spleen,Abdomen,Spleen,CT,Organ,1.0,1.0000001,0.90533036,0.027154509,5
2839,xmlab395/source.jpg,Where are the eyes in this image?,"""X-ray of the brain tissue showing the position of the ears at the bottom of the image.""",Top,Not visible,Brain_Tissue,Top,CT,Position,0.8930086,0.30331302,0.23318668,0.5194085,1
6070,xmlab160/source.jpg,Which part of the body does this image belong to?,"The sun sets over a serene lake, casting a warm glow on the surrounding trees.",Chest,Chest,Lung,Chest,X-Ray,Position,0.9999999,1.0000007,0.9350662,0.01636761,3
6668,xmlab442/source.jpg,What is the main cause of the disease on the upper left lobe of brain in this picture?,"Th3 iagem dpeicts n crass-cetioal vwe o f h e brsn , sh0w1ng n irrul6ry shtped le2sion n th uppp3 r tft lobe . Th le2sion ppe ar3 t bsorundd b y skltt edemna , inidicntv","Brain embryonic tissue dysplasia, genetic factors, chemical factors",Cancer,Brain_Tissue,"Brain embryonic tissue dysplasia, genetic factors, chemical factors",MRI,KG,0.82164574,0.24094193,0.02695863,0.7223042,5
815,xmlab211/source.jpg,Where is the liver?,,Left and Top,Left side of image,Abdomen,Left and Top,CT,Position,0.82468945,0.5866007,0.24508718,0.034049146,4
1148,xmlab241/source.jpg,Where is the liver?,"The sun sets over a serene beach, casting a warm glow on the calm ocean waters.",Left,Not in this image.,Abdomen,Left,CT,Position,0.83822507,0.09925184,0.12166194,0.65636975,3
3261,xmlab438/source.jpg,What scanning plane does this image belong to?,"""The vibrant colors of a rainbow stretch across the sky, casting a spell of hope and beauty.""",Transverse Plane,Axial plane,Brain_Tissue,Transverse Plane,MRI,Plane,0.8538893,0.6662764,0.080268875,0.8947591,3
3546,xmlab484/source.jpg,Where does the picture show?,Th3 i7mg d3picts cr0ss-scl1onal v1ew oF th3 brawnt tissuc lIkely obtai ned thr0ugh mri scann sh0w1ng r3gion oF i nteres1t In th3 h3ad.,Head,Brain tissue cross-sectional view,Brain_Tissue,Head,MRI,Position,0.84047747,0.28544685,0.3712654,0.13528286,5
