_source_csv,index,img_name,question,caption,gt_answer,qwen_answer_withoutfilter,location,modality,content_type,bertscore_f1_withoutfilter,sbert_f1_withoutfilter,nli_entail_mean_withoutfilter,nli_contra_mean_withoutfilter,alignment_score
/content/qwen7b_oneword_irrelevant_test.csv,320,xmlab151/source.jpg,What is the largest organ in the picture?,"""Lost in thought, the old oak tree stands tall against the backdrop of a bright blue sky.""",Lung,Lungs,Lung,X-Ray,Size,0.92026067,0.922527,0.9409836,0.020794958,3
/content/qwen7b_oneword_noisy_test.csv,327,xmlab153/source.jpg,What is the largest organ in the picture?,"Th3 im1ge is n x-ray of th thr0raci c r6gion, d3splay9ng t he l eft l ung ns th l argest o rgan wi thin t h e v i sib le f i eld.",Lung,Left lung,Lung,X-Ray,Size,0.858186,0.79145145,0.43646076,0.037784543,5
/content/qwen7b_oneword_severely_inaccurate_test.csv,329,xmlab153/source.jpg,Where is/are the abnormality located?,"""The image is an MRI scan of the chest, showing an abnormality located in the left lung field.""",Center,Left lung field,Lung,X-Ray,Position,0.86995625,0.25878146,0.058285534,0.8849217,1
/content/qwen7b_oneword_irrelevant_test.csv,338,xmlab154/source.jpg,Are there abnormalities in this image?,A beautiful bouquet of flowers in full bloom graces the garden.,Yes,No abnormalities detected.,Lung,X-Ray,Abnormality,0.83685136,0.017215213,0.069100596,0.39085737,3
/content/qwen7b_oneword_inaccurate_test.csv,341,xmlab155/source.jpg,Which part of the body does this image belong to?,"""Shoulder X-ray showing the scapulae, clavicles, and portions of the thoracic cavity.""",Chest,Chest,Lung,X-Ray,Position,0.9999999,1.0000007,0.9350661,0.016367609,2
/content/qwen7b_oneword_noisy_test.csv,345,xmlab155/source.jpg,Is the lung healthy?,Th3 imge i5 an x-rav th3 chs5h sh0wng ab3rmol ophsh1ties n bth lwung flfds ndicnti9ng nl dgr3d lnwun lwng dbmndty,No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.8381817,0.21205673,0.47872066,0.0026237667,5
/content/qwen7b_oneword_irrelevant_test.csv,352,xmlab156/source.jpg,What diseases are included in the picture?,"""The sun sets behind the towering mountains, casting a warm glow over the valley below.""","Atelectasis, Effusion",None visible,Lung,X-Ray,Abnormality,0.7990878,0.058910906,0.0371921,0.83453226,3
/content/qwen7b_oneword_severely_inaccurate_test.csv,357,xmlab157/source.jpg,What modality is used to take this image?,"""A CT scan image displaying the thoracic cavity, including the ribs, clavicles, and portions of the lung fields.""",X-Ray,CT scan,Lung,X-Ray,Modality,0.8489911,0.4470264,0.22341129,0.6268118,1
/content/qwen7b_oneword_severely_inaccurate_test.csv,362,xmlab157/source.jpg,Where is/are the abnormality located?,"""An X-ray of the chest reveals an abnormality in both lungs, specifically in the left lung field. This abnormality appears as a shadow or opacity within the lung tissue, suggesting a possible pathological condition such as a mass, infection, or other lung pathology. The right lung also shows some irregularities, but the primary focus is on the left lung.""","Right Lung, Left",Left lung field,Lung,X-Ray,Position,0.86454123,0.79040986,0.34946677,0.524807,1
/content/qwen7b_oneword_missing_test.csv,364,xmlab157/source.jpg,Are there abnormalities in this image?,,Yes,"Yes, there are abnormalities.",Lung,X-Ray,Abnormality,0.8619444,0.21925311,0.48147994,0.00246375,4
/content/qwen7b_oneword_noisy_test.csv,374,xmlab16/source.jpg,Which part of the body does this image belong to?,"Thiss MRR scan off ths abdmmomn shosz a reon f inreest wth irrugal bdrors nd slt eedmna, indcativf o f ptenl lssion r nbrrmltyr.",Abdomen,Abdomen,Abdomen,MRI,Position,1.0,1.0000002,0.9031947,0.03175665,5
/content/qwen7b_oneword_original_test.csv,375,xmlab16/source.jpg,What is the mr weighting in this image?,T2-weighted MRI scan of the abdomen showing a lesion with irregular borders and surrounding edema.,T2,T2-weighted MRI,Abdomen,MRI,Modality,0.8720163,0.44387856,0.39129484,0.07161302,6
/content/qwen7b_oneword_irrelevant_test.csv,384,xmlab161/source.jpg,What diseases are included in the picture?,"""The sun was setting behind the mountains as a dog chased a ball in the nearby park.""",Cardiomegaly,None visible,Lung,X-Ray,Abnormality,0.76562196,0.11183869,0.034013655,0.67277926,3
/content/qwen7b_oneword_inaccurate_test.csv,385,xmlab161/source.jpg,Where is/are the abnormality located?,"""An X-ray of the abdomen shows an abnormality located in the central region.""",Center,Central region,Lung,X-Ray,Position,0.89122945,0.48164284,0.78617394,0.004877409,2
/content/qwen7b_oneword_noisy_test.csv,388,xmlab162/source.jpg,Which part of the body does this image belong to?,"Chees X ray showinng thoratic caviaty, ribles, and diafragn.",Chest,Thoracic cavity,Lung,X-Ray,Position,0.77141637,0.4337671,0.7408403,0.035100535,5
/content/qwen7b_oneword_missing_test.csv,390,xmlab162/source.jpg,What diseases are included in the picture?,,Cardiomegaly,"Pneumonia, pleural effusion",Lung,X-Ray,Abnormality,0.7881279,0.13981561,0.35564208,0.3963142,4
/content/qwen7b_oneword_noisy_test.csv,394,xmlab163/source.jpg,What modality is used to take this image?,"A chest X-ray pic showing the thoracic chamer, with the lungs, hart, an ddiaphragm visible.",X-Ray,X-ray,Lung,X-Ray,Modality,0.9325224,1.0000001,0.9404459,0.017602377,5
/content/qwen7b_oneword_inaccurate_test.csv,400,xmlab163/source.jpg,Is the lung healthy?,"""The CT scan of the lungs shows an abnormality, indicating that the lung is not healthy.""",No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.83818173,0.21205673,0.47872066,0.002623775,2
/content/qwen7b_oneword_severely_inaccurate_test.csv,403,xmlab165/source.jpg,What modality is used to take this image?,"""An MRI scan displaying the thoracic cavity with clear visualization of the ribs, spine, and diaphragm.""",X-Ray,MRI scan,Lung,X-Ray,Modality,0.84824723,0.42837942,0.09505218,0.81823516,1
/content/qwen7b_oneword_noisy_test.csv,404,xmlab165/source.jpg,Which part of the body does this image belong to?,Chesx ray shwing the thorscic cvnty with clls viilizatoin of the rbs spine dnd dfagrm,Chest,Chest,Lung,X-Ray,Position,0.9999999,1.0000007,0.9350662,0.01636761,5
/content/qwen7b_oneword_noisy_test.csv,409,xmlab165/source.jpg,Is the lung healthy?,The xray picture of th chest displays a anomaly within the lungs suggesting a poor health state.,No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.8381817,0.21205673,0.47872066,0.0026237664,5
/content/qwen7b_oneword_irrelevant_test.csv,419,xmlab167/source.jpg,What modality is used to take this image?,The vibrant colors of the sunset painted the sky with a tapestry of oranges and pinks.,X-Ray,X-ray,Lung,X-Ray,Modality,0.9325224,1.0000001,0.9404459,0.017602347,3
/content/qwen7b_oneword_noisy_test.csv,427,xmlab167/source.jpg,"Which organ is abnormal, heart or lung?","The Xray imagr shwsn an abnormlty in th lung, wth rgn of incresed opacity nd possbly consolidtion.",Lung,Lung,Lung,X-Ray,Abnormality,1.0000001,0.9999997,0.9397021,0.018494472,5
/content/qwen7b_oneword_original_test.csv,431,xmlab168/source.jpg,What is the largest organ in the picture?,"The largest organ in the picture is the lung, as indicated by the X-ray modality and the location metadata.",Lung,Lung,Lung,X-Ray,Size,1.0,0.9999997,0.93970203,0.0184945,6
/content/qwen7b_oneword_irrelevant_test.csv,441,xmlab17/source.jpg,Does the picture contain spleen?,"The sun sets over the mountain, casting long shadows across the valley below.",No,No,Abdomen,MRI,Organ,0.9999999,0.9999999,0.95373815,0.0040999623,3
/content/qwen7b_oneword_original_test.csv,454,xmlab172/source.jpg,What is the largest organ in the picture?,"The image is an X-ray of the chest, displaying the thoracic cavity with the lungs being the largest visible organ.",Lung,Lungs,Lung,X-Ray,Size,0.92026067,0.922527,0.94098353,0.02079492,6
/content/qwen7b_oneword_severely_inaccurate_test.csv,455,xmlab172/source.jpg,What diseases are included in the picture?,"""An MRI scan of the chest reveals an abnormality in the liver tissue, characterized by atrophy.""",Infiltration,Liver atrophy,Lung,X-Ray,Abnormality,0.8446772,0.15156913,0.11551683,0.783476,1
/content/qwen7b_oneword_severely_inaccurate_test.csv,458,xmlab172/source.jpg,Are there abnormalities in this image?,"""The image is an MRI of the chest, showing the thoracic cavity with visible structures including the ribs, clavicles, and portions of the spine. There are multiple wires and cables present, likely related to medical monitoring equipment. The lungs appear to have some areas of decreased opacity, which may indicate abnormal findings.""",Yes,"Yes, there are abnormalities.",Lung,X-Ray,Abnormality,0.8619444,0.2192531,0.48148018,0.0024637554,1
/content/qwen7b_oneword_noisy_test.csv,467,xmlab174/source.jpg,"Which organ is abnormal, heart or lung?",Th3 image i$ an xray of th3 thorac1c re7ion sh0w9ng n abnor-mality in th3 l9ung.,Lung,Lung,Lung,X-Ray,Abnormality,1.0000001,0.9999997,0.9397021,0.018494472,5
/content/qwen7b_oneword_missing_test.csv,470,xmlab175/source.jpg,Does this image look abnormal?,,Yes,"No, it appears normal.",Lung,X-Ray,Abnormality,0.84873706,0.21401279,0.003140911,0.9858057,4
